name,state,year,se,jobs,se_jobs,rd,gdp,rd_gdp
South Dakota,SD,2011,11790,392670,3,293,41542,0.71
South Dakota,SD,2012,12000,398680,3.01,266,43445,0.61
South Dakota,SD,2013,12770,402990,3.17,308,44815,0.69
South Dakota,SD,2014,13220,409250,3.23,271,46047,0.59
South Dakota,SD,2015,13870,413260,3.36,271,47752,0.57
South Dakota,SD,2016,14160,417520,3.39,289,48606,0.59
South Dakota,SD,2017,14260,419470,3.4,343,49739,0.69
Tennessee,TN,2008,72760,2755800,2.64,3871,251609,1.54
Tennessee,TN,2009,68970,2625140,2.63,3925,250544,1.57
Tennessee,TN,2010,71850,2569420,2.8,3955,255936,1.55
Tennessee,TN,2011,77630,2602320,2.98,4218,267659,1.58
Tennessee,TN,2012,79830,2657280,3,4328,283722,1.53
Tennessee,TN,2013,0,2700050,0,4146,292804,1.42
Tennessee,TN,2014,86680,2749480,3.15,4245,303809,1.4
Tennessee,TN,2015,88820,2814230,3.16,4369,322664,1.35
Tennessee,TN,2016,90240,2893040,3.12,4545,335026,1.36
Tennessee,TN,2017,93320,2915750,3.2,4521,345950,1.31
Texas,TX,2008,463850,10391420,4.46,20316,1237395,1.64
Texas,TX,2009,470010,10289240,4.57,20027,1163401,1.72
Texas,TX,2010,451390,10089870,4.47,19506,1237197,1.58
Texas,TX,2011,469080,10304370,4.55,20623,1331221,1.55
Texas,TX,2012,493980,10579400,4.67,20673,1411379,1.46
Texas,TX,2013,514400,10913950,4.71,21690,1502250,1.44
Texas,TX,2014,541060,11228940,4.82,22467,1572818,1.43
Texas,TX,2015,563410,11572540,4.87,23668,1568457,1.51
Texas,TX,2016,566230,11745250,4.82,23431,1565632,1.5
Texas,TX,2017,567040,11890880,4.77,27113,1665632,1.63
Utah,UT,2008,52570,1230320,4.27,2522,115985,2.17
Utah,UT,2009,51270,1185770,4.32,2733,113333,2.41
Utah,UT,2010,50830,1148520,4.43,3207,117961,2.72
Utah,UT,2011,51350,1165980,4.4,3276,124539,2.63
Utah,UT,2012,54720,1200850,4.56,2912,128721,2.26
Utah,UT,2013,57980,1242690,4.67,3825,134252,2.85
Utah,UT,2014,62810,1280660,4.9,3669,141260,2.6
Utah,UT,2015,64670,1324460,4.88,4174,149372,2.79
Utah,UT,2016,68630,1374900,4.99,4157,157883,2.63
Utah,UT,2017,73320,1410670,5.2,3664,167255,2.19
Vermont,VT,2008,12360,301130,4.1,546,25678,2.13
Vermont,VT,2009,12780,294120,4.35,551,25868,2.13
Vermont,VT,2010,12670,286990,4.41,453,27108,1.67
Vermont,VT,2011,13100,290830,4.5,519,28135,1.84
Vermont,VT,2012,12870,294090,4.38,592,28887,2.05
Vermont,VT,2013,12920,298290,4.33,533,29099,1.83
Vermont,VT,2014,13280,301050,4.41,422,29701,1.42
Vermont,VT,2015,13710,303550,4.52,374,30730,1.22
Vermont,VT,2016,13390,304670,4.39,376,31659,1.19
Vermont,VT,2017,13160,305110,4.31,381,32210,1.18
Virginia,VA,2008,259280,3670980,7.06,11472,399032,2.87
Virginia,VA,2009,264090,3589520,7.36,11449,408919,2.8
Virginia,VA,2010,255800,3527350,7.25,10845,422902,2.56
Virginia,VA,2011,267620,3553360,7.53,11166,432393,2.58
Virginia,VA,2012,274280,3597100,7.63,10101,444950,2.27
Virginia,VA,2013,276230,3631440,7.61,9430,455070,2.07
Virginia,VA,2014,272410,3648490,7.47,10489,463478,2.26
Virginia,VA,2015,270990,3682450,7.36,10107,484217,2.09
Virginia,VA,2016,275350,3760550,7.32,9333,493878,1.89
Virginia,VA,2017,282830,3789910,7.46,8897,509373,1.75
Washington,WA,2008,0,2868910,0,16696,355678,4.69
Washington,WA,2009,196850,2789670,7.06,19313,353632,5.46
Washington,WA,2010,186210,2693220,6.91,16695,365552,4.57
Washington,WA,2011,196760,2720660,7.23,17979,379539,4.74
Washington,WA,2012,0,2764080,0,17678,400863,4.41
Washington,WA,2013,209710,2827200,7.42,18005,419345,4.29
Washington,WA,2014,208630,2898350,7.2,18987,442201,4.29
Washington,WA,2015,219130,2983930,7.34,20038,470329,4.26
Washington,WA,2016,227910,3067110,7.43,22902,491358,4.66
Washington,WA,2017,235070,3186610,7.38,24958,524815,4.76
West Virginia,WV,2008,17000,717740,2.37,778,62067,1.25
West Virginia,WV,2009,16350,704310,2.32,658,62958,1.05
West Virginia,WV,2010,17070,688170,2.48,591,65274,0.91
West Virginia,WV,2011,18300,700250,2.61,597,68525,0.87
West Virginia,WV,2012,19900,710540,2.8,627,69399,0.9
West Virginia,WV,2013,19490,709430,2.75,616,71038,0.87
West Virginia,WV,2014,20110,707720,2.84,604,71919,0.84
