id,nobelwinners,category,year,sex
406,Ulf von Euler,physiology or medicine,1970,M
407,Bernard Katz,physiology or medicine,1970,M
408,Aleksandr Solzhenitsyn,literature,1970,M
409,Norman Borlaug,peace,1970,M
410,Paul Samuelson,economics,1970,M
411,Dennis Gabor,physics,1971,M
412,Gerhard Herzberg,chemistry,1971,M
413,"Earl Wilbur Sutherland, Jr.",physiology or medicine,1971,M
414,Pablo Neruda,literature,1971,M
415,Willy Brandt,peace,1971,M
416,Simon Kuznets,economics,1971,M
417,John Bardeen,physics,1972,M
418,Leon Cooper,physics,1972,M
419,John Robert Schrieffer,physics,1972,M
420,Christian B. Anfinsen,chemistry,1972,M
421,Stanford Moore,chemistry,1972,M
422,William Howard Stein,chemistry,1972,M
423,Gerald Edelman,physiology or medicine,1972,M
424,Rodney Robert Porter,physiology or medicine,1972,M
425,Heinrich Böll,literature,1972,M
426,John Hicks,economics,1972,M
427,Kenneth Arrow,economics,1972,M
428,Leo Esaki,physics,1973,M
429,Ivar Giaever,physics,1973,M
430,Brian David Josephson,physics,1973,M
431,Ernst Otto Fischer,chemistry,1973,M
432,Geoffrey Wilkinson,chemistry,1973,M
433,Karl von Frisch,physiology or medicine,1973,M
434,Konrad Lorenz,physiology or medicine,1973,M
435,Nikolaas Tinbergen,physiology or medicine,1973,M
436,Patrick White,literature,1973,M
437,Henry Kissinger,peace,1973,M
438,Le Duc Tho,peace,1973,M
439,Wassily Leontief,economics,1973,M
440,Martin Ryle,physics,1974,M
441,Antony Hewish,physics,1974,M
442,Paul Flory,chemistry,1974,M
443,Albert Claude,physiology or medicine,1974,M
444,Christian de Duve,physiology or medicine,1974,M
445,George Emil Palade,physiology or medicine,1974,M
446,Eyvind Johnson,literature,1974,M
447,Harry Martinson,literature,1974,M
448,Seán MacBride,peace,1974,M
449,Eisaku Satō,peace,1974,M
450,Gunnar Myrdal,economics,1974,M
451,Friedrich Hayek,economics,1974,M
452,Aage Bohr,physics,1975,M
453,Ben Roy Mottelson,physics,1975,M
454,James Rainwater,physics,1975,M
455,John Cornforth,chemistry,1975,M
456,Vladimir Prelog,chemistry,1975,M
457,David Baltimore,physiology or medicine,1975,M
458,Renato Dulbecco,physiology or medicine,1975,M
459,Howard Martin Temin,physiology or medicine,1975,M
460,Eugenio Montale,literature,1975,M
461,Andrei Sakharov,peace,1975,M
462,Leonid Kantorovich,economics,1975,M
463,Tjalling Koopmans,economics,1975,M
464,Burton Richter,physics,1976,M
465,Samuel C. C. Ting,physics,1976,M
466,William Lipscomb,chemistry,1976,M
467,Baruch Samuel Blumberg,physiology or medicine,1976,M
468,Daniel Carleton Gajdusek,physiology or medicine,1976,M
469,Saul Bellow,literature,1976,M
470,Betty Williams,peace,1976,F
471,Mairead Maguire,peace,1976,F
472,Milton Friedman,economics,1976,M
473,Philip Warren Anderson,physics,1977,M
474,Nevill Francis Mott,physics,1977,M
475,John Hasbrouck Van Vleck,physics,1977,M
476,Ilya Prigogine,chemistry,1977,M
477,Roger Guillemin,physiology or medicine,1977,M
478,Andrew Schally,physiology or medicine,1977,M
479,Rosalyn Sussman Yalow,physiology or medicine,1977,F
480,Vicente Aleixandre,literature,1977,M
481,Amnesty International,peace,1977,M
482,Bertil Ohlin,economics,1977,M
483,James Meade,economics,1977,M
484,Pyotr Kapitsa,physics,1978,M
485,Arno Allan Penzias,physics,1978,M
486,Robert Woodrow Wilson,physics,1978,M
487,Peter D. Mitchell,chemistry,1978,M
488,Werner Arber,physiology or medicine,1978,M
489,Daniel Nathans,physiology or medicine,1978,M
490,Hamilton O. Smith,physiology or medicine,1978,M
491,Isaac Bashevis Singer,literature,1978,M
492,Anwar Sadat,peace,1978,M
493,Menachem Begin,peace,1978,M
494,Herbert A. Simon,economics,1978,M
495,Sheldon Lee Glashow,physics,1979,M
496,Abdus Salam,physics,1979,M
497,Steven Weinberg,physics,1979,M
498,Herbert C. Brown,chemistry,1979,M
499,Georg Wittig,chemistry,1979,M
500,Allan McLeod Cormack,physiology or medicine,1979,M
501,Godfrey Hounsfield,physiology or medicine,1979,M
502,Odysseas Elytis,literature,1979,M
503,Mother Teresa,peace,1979,F
504,Theodore Schultz,economics,1979,M
505,Arthur Lewis,economics,1979,M
506,James Cronin,physics,1980,M
507,Val Logsdon Fitch,physics,1980,M
508,Paul Berg,chemistry,1980,M
509,Walter Gilbert,chemistry,1980,M
510,Frederick Sanger,chemistry,1980,M
511,Baruj Benacerraf,physiology or medicine,1980,M
512,Jean Dausset,physiology or medicine,1980,M
513,George Davis Snell,physiology or medicine,1980,M
514,Czesław Miłosz,literature,1980,M
515,Adolfo Pérez Esquivel,peace,1980,M
516,Lawrence Klein,economics,1980,M
517,Nicolaas Bloembergen,physics,1981,M
518,Arthur Leonard Schawlow,physics,1981,M
519,Kai Siegbahn,physics,1981,M
520,Kenichi Fukui,chemistry,1981,M
521,Roald Hoffmann,chemistry,1981,M
522,Roger Wolcott Sperry,physiology or medicine,1981,M
523,David H. Hubel,physiology or medicine,1981,M
